Ev Sahibi,Deplasman Takımı,Ev IY,Dep IY,Ev MS,Dep MS,Ev Oran,Beraberlik Oran,Dep Oran,Mac Sonucu,ALT-UST
Albirex Niigata , Tokyo Verdy,3,0,4,3,1.9,3.3,3.4,1,UST
M Yamagata , Oita Trinita,0,0,1,1,1.82,3.2,3.8,0,ALT
Mito Hollyhock , Machida Zelvia,0,0,0,0,3.2,3.0,2.1,0,ALT
Gamba Osaka , Vissel Kobe,0,0,2,0,3.1,3.2,2.05,1,ALT
Daegu , Suwon,1,0,3,0,2.1,2.85,3.4,1,UST
Gangwon , Ulsan,1,3,1,3,4.4,3.4,1.67,2,UST
Blaublitz Akita , FC Yokohama,0,0,1,0,3.2,3.0,2.1,1,ALT
Roasso Kumamoto , FC Ryukyu,0,0,0,2,1.92,3.3,3.3,2,ALT
Los Angeles FC , Philadelphia U,0,1,2,2,1.95,3.3,3.3,0,UST
San Jose Quakes , Colorado Rapids,0,0,1,0,2.25,3.2,2.75,1,ALT
Monterrey , San Luis,1,0,2,2,1.58,3.4,5.2,0,UST
FC Dallas , Seattle Sndrs,0,0,2,0,1.53,3.7,5.2,1,ALT
Minnesota Utd , FC Cincinnati,0,0,0,1,1.72,3.6,3.8,2,ALT
DC United , Houston Dynamo,2,0,2,0,1.9,3.3,3.5,1,UST
NE Revolution , Columbus Crew,0,1,2,2,1.72,3.4,4.1,0,UST
Atl Paranaense , Ceara,0,0,1,0,2.05,2.95,3.4,1,ALT
NY City FC , Sporting KC,0,0,0,0,1.37,4.4,6.5,0,ALT
NY Red Bulls , Portland T,0,0,1,1,1.37,4.2,7.0,0,ALT
Cruz Azul , Necaxa,0,0,1,1,2.3,2.75,3.1,0,ALT
Atlanta Utd , Chicago Fire,3,1,4,1,1.42,3.9,6.5,1,UST
Univ de Chile , La Serena,0,0,2,0,2.0,3.2,3.2,1,ALT
Montreal Impact , Orlando City,1,0,4,1,2.03,3.1,3.2,1,UST
Charlotte FC , Inter Miami,0,0,1,0,1.58,3.5,5.2,1,ALT
Atl Mineiro , America Mineiro,0,1,1,2,1.4,4.0,7.0,2,UST
Groningen , Sparta Rotterdam,0,1,1,2,1.95,3.1,3.7,2,UST
Real Betis , Barcelona,0,0,1,2,2.75,3.4,2.15,2,UST
Nice , Nantes,0,0,0,1,2.0,3.1,3.3,2,ALT
O'Higgins , Union Espanola,2,1,2,2,2.65,3.0,2.45,0,UST
Liverpool , Tottenham,0,0,1,1,1.33,4.8,6.0,0,ALT
Lazio , Sampdoria,1,0,2,0,1.4,4.2,6.5,1,UST
Zwolle , Utrecht,0,1,1,1,2.3,3.2,2.65,0,UST
Willem II , Heracles,2,0,2,0,2.25,2.95,2.95,1,UST
Twente Enschede , Fortuna Sittard,1,2,1,2,1.33,4.7,7.0,2,UST
Hertha Berlin , Mainz,1,1,1,2,2.65,3.1,2.35,2,UST
Brighton , Manchester Utd,1,0,4,0,3.2,3.4,1.92,1,UST
Cadiz , Elche,0,0,3,0,1.6,3.5,4.7,1,UST
Celta de Vigo , Alaves,2,0,4,0,1.75,3.2,4.3,1,UST
Sassuolo , Udinese,1,0,1,1,2.3,3.4,2.55,0,UST
Molde , Viking FK,3,1,3,4,1.92,3.6,3.05,2,UST
Malmo , Mjallby AIF,2,0,2,0,1.48,3.6,6.5,1,UST
Brest , Strasbourg,0,0,0,1,3.7,3.4,1.85,2,ALT
Athletic Bilbao , Valencia,0,0,0,0,1.37,4.2,7.0,0,ALT
Chelsea , Wolverhampton,0,0,2,2,1.35,4.4,7.0,0,UST
Burnley , Aston Villa,0,2,1,3,2.6,3.0,2.5,2,UST
Crystal Palace , Watford,1,0,1,0,1.55,3.8,4.7,1,ALT
Brentford , Southampton,2,0,3,0,2.0,3.2,3.2,1,UST
Sarpsborg , Odd BK,0,0,1,0,1.58,3.8,4.5,1,ALT
Hoffenheim , Leverkusen,2,1,2,4,2.8,3.5,2.05,2,UST
Greuther Furth , Dortmund,0,1,1,3,6.5,5.0,1.33,2,UST
Freiburg , Union Berlin,0,3,1,4,1.7,3.4,4.0,2,UST
Cologne , Wolfsburg,0,1,0,1,1.42,4.4,5.2,2,ALT
Torino , Napoli,0,0,0,1,3.6,3.3,1.87,2,ALT
AIK Stockholm , IFK Gothenburg,0,0,1,0,1.6,3.5,4.8,1,ALT
Kuala Lumpur , Pahang,0,1,1,2,1.87,3.1,3.7,2,UST
Mallorca , Granada,1,1,2,6,1.9,3.1,3.7,2,UST
Thailand U23 , Malaysia U23,1,0,1,2,1.3,4.1,7.5,2,UST
Luton , Reading,1,0,1,0,1.55,3.6,5.0,1,ALT
Swansea , QPR,0,0,0,1,1.87,3.6,3.2,2,ALT
Hull City , Nottingham,0,0,1,1,2.9,3.1,2.2,0,ALT
Bournemouth , Millwall,0,0,1,0,1.77,3.4,3.8,1,ALT
Preston , Middlesbrough,2,0,4,1,4.0,3.6,1.67,1,UST
Sheffield Utd , Fulham,3,0,4,0,1.95,3.3,3.3,1,UST
Stoke City , Coventry,1,1,1,1,2.05,3.3,3.0,0,UST
Derby , Cardiff,0,0,0,1,2.1,3.2,3.0,2,ALT
Huddersfield , Bristol City,2,0,2,0,2.15,3.4,2.85,1,UST
Peterborough , Blackpool,1,0,5,0,2.45,3.4,2.4,1,UST
Birmingham , Blackburn,0,2,1,2,2.45,3.2,2.5,2,UST
West Bromwich , Barnsley,2,0,4,0,1.2,6.0,10.0,1,UST
Central Coast , Newcastle Jets,1,0,2,0,1.82,3.6,3.5,1,UST
Sydney FC , Melbourne Vict,1,3,1,4,2.95,3.5,2.03,2,UST
Tanjong Pagar , Albirex,1,2,1,2,4.1,4.0,1.6,2,UST
Singapore U23 , Laos U23,0,1,2,2,1.3,4.4,7.0,0,UST
Avispa Fukuoka , Shonan Bellmare,0,0,0,0,1.95,2.9,3.7,0,ALT
C Sapporo , Kyoto Sanga,0,0,1,0,1.72,3.4,3.9,1,ALT
Yokohama FM , Nagoya Grampus,1,1,2,1,1.9,3.3,3.6,1,UST
Shimizu S Pulse , Kawasaki F,0,2,0,2,4.3,3.7,1.63,2,UST
S Hiroshima , Kashima Antlers,1,0,3,0,2.15,3.7,2.65,1,UST
Lille , Monaco,0,1,1,2,3.6,3.4,1.8,2,UST
Levante , Sociedad,0,0,2,1,3.05,3.2,2.05,1,UST
Genoa , Juventus,0,0,2,1,3.5,3.2,1.92,1,UST
Bochum , Bielefeld,1,1,2,1,2.05,3.3,3.0,1,UST
Cambuur , Waalwijk,0,0,1,1,2.03,3.3,3.05,0,ALT
Inter , Empoli,2,2,4,2,1.09,8.5,12.0,1,UST
Kedah , Malacca,2,1,2,3,1.55,3.5,5.2,2,UST
Vietnam U23 , Indonesia U23,0,0,3,0,1.45,3.6,6.0,1,UST
Hougang , L City Sailors,1,3,3,4,7.0,4.7,1.3,2,UST
Cerezo Osaka , Jubilo Iwata,2,0,2,1,1.67,3.4,4.3,1,UST
Glasgow Rangers , RB Leipzig,2,0,3,1,3.3,3.2,2.0,1,UST
E Frankfurt , West Ham,1,0,1,0,2.45,3.2,2.5,1,ALT
